Title,Year,Summary,"Short Summary","IMDB ID",Runtime,"YouTube Trailer",Rating,"Movie Poster",Director,Writers,Cast
"Love Songs",2007,"Julie's boyfriend Ismaël lives with her; rather than worry about the time he spends with his colleague Alice, Julie invites Alice to join them. The three walk the streets of Paris, party, read, and sleep together. Sometimes it's lighthearted, sometimes there are jealousies. Then death strikes. In various ways, those left come to terms with the departure and absence of a loved one: showing concern, eating together, attempting new relationships, trying to ""be there"" for the other. Then, the spirit returns and new commitments are possible. The romantic elements of musical comedy play in contrast to the ambivalence of the lyrics and the story.","A musical interpretation of three lovers living in Paris.",tt0996605,91,s54vpKAFmS0,7.2,https://hydramovies.com/wp-content/uploads/2018/04/Love-Songs-Movie-Poster.jpg,"Christophe Honoré","Christophe Honoré","Clotilde Hesme|Louis Garrel|Ludivine Sagnier"
89,2017,"89 tells the incredible story of one of football's greatest triumphs: when against all odds Arsenal snatched the Championship title from Liverpool at Anfield in the last minute of the last game of the 1988/89 season. It's a universal tale of a band of brothers who, led by a charismatic and deeply respected manager, came together to defy the odds and create history. Mixing archive and previously unseen footage with revealing interviews, insights and memories from the original squad, game officials, famous fans and the people who were there on the night this is the definitive account of a watershed moment in football and a must-watch for any sports fan.","The true story of a sporting miracle, when Arsenal went to Anfield on the last day of the 1988/89 season needing to beat the best team in England by two clear goals to snatch the title.",tt7614404,91,5hfAExhHTMM,8.1,https://hydramovies.com/wp-content/uploads/2018/04/89-Movie-Poster.jpg,"Dave Stewart","Lee Dixon","Ian Wright"
"The Foster Boy",2011,"The illegitimate orphan child, 12-year-old Max, is sold by the local minister for a basket of food to the Bösiger family, who own a mountain farm. Max' initial hope of finally finding a loving home is brutally shattered: The farmer and his wife treat Max like livestock, and their son Jacob humiliates and abuses him. Only the local teacher notices the child suffering on the farm.","A Swiss-German rural peasant family takes Max, a crude 15-year-old boy, into a foster situation of constant bullying. Soon, a foster girl is added to the mix.",tt2057931,107,E9Qv_XVJ-js,7.4,https://hydramovies.com/wp-content/uploads/2018/04/The-Foster-Boy-Movie-Poster.jpg,"Markus Imboden","Plinio Bachmann","Katja Riemann|Maximilian Simonischek|Stefan Kurt"
"Forever My Girl",2018,"After being gone for a decade a country star returns home to the love he left behind.","After being gone for a decade a country star returns home to the love he left behind.",tt4103724,108,3vqcMr1q5Uc,6.4,https://hydramovies.com/wp-content/uploads/2018/04/Forever-My-Girl-Movie-Poster.jpg,"Bethany Ashton Wolf","Bethany Ashton Wolf","Abby Ryder Fortson|Alex Roe|Jessica Rothe"
"Tom Segura: Disgraceful",2018,"Comedian Tom Segura rants about funny things about pop culture and the way of living in 2018.","Comedian Tom Segura rants about funny things about pop culture and the way of living in 2018.",tt7379330,0,kYYINJM3lPA,7.5,https://hydramovies.com/wp-content/uploads/2018/04/Tom-Segura-Disgraceful-Movie-Poster.jpg,"Jay Karas","Tom Segura","Tom Segura"
"The Secret Rules of Modern Living: Algorithms",2015,"Professor Marcus du Sautoy demystifies the hidden world of algorithms and reveals where these 2,000-year-old problem solvers came from, how they work, and what they have achieved.","Professor Marcus du Sautoy demystifies the hidden world of algorithms and reveals where these 2,000-year-old problem solvers came from, how they work, and what they have achieved.",tt5818010,58,hpyxmT6KSvw,7.5,https://hydramovies.com/wp-content/uploads/2018/04/The-Secret-Rules-of-Modern-Living-Algorithms-Movie-Poster.jpg,"David Briggs","Marcus du Sautoy",
"Secrets in the Fall",2015,"Nothing is impossible for a group of young campers, friends and enemies alike, on a weekend retreat at Camp Pinnacle. But what starts as an exciting wilderness adventure turns into trouble when a young camper goes missing and the rest of the group must set out to find him. The campers are forced to overcome their differences and band together to re-claim their weekend and make it out of the woods before dark!","Nothing is impossible for a group of young campers, friends and enemies alike, on a weekend retreat at Camp Pinnacle. But what starts as an exciting wilderness adventure turns into trouble ...",tt2522908,0,eMVw1pHVMAw,7.3,https://hydramovies.com/wp-content/uploads/2018/04/Secrets-in-the-Fall-Movie-Poster.jpg,"Brittany Goodwin","Brittany Goodwin","Hollie Shay|Kyle Kupecky|Vincent Seidle"
"Silent Night",2017,"Adam unexpectedly visits his family house at Christmas after a few years of working abroad. No family member knows about his secret plans and the real reasons of his visit.","Adam unexpectedly visits his family house at Christmas after a few years of working abroad. No family member knows about his secret plans and the real reasons of his visit.",tt7133554,100,cA6BUYVkQoE,7.5,https://hydramovies.com/wp-content/uploads/2018/04/Silent-Night-Movie-Poster.jpg,"Piotr Domalewski","Piotr Domalewski","Agnieszka Suchora|Dawid Ogrodnik|Tomasz Zietek"
"Suicide Squad: Hell to Pay",2018,"Task Force X targets a powerful mystical object that they will risk their lives to steal.","Task Force X targets a powerful mystical object that they will risk their lives to steal.",tt7167602,86,EPZZvk-wbGE,7.2,https://hydramovies.com/wp-content/uploads/2018/04/Suicide-Squad-Hell-to-Pay-Movie-Poster.jpg,"Sam Liu","Alan Burnett","Christian Slater|Vanessa Williams"
Wildling,2018,"Anna spends her entire childhood under the care of a mysterious man she only knows as Daddy. He keeps her locked in an attic making her fear the Wildling, a child-eating monster that roams the outside. At age 16, Anna is freed by small-town sheriff Ellen Cooper who helps her start a new life as a normal teenager. But as Anna's body begins to blossom, her childhood nightmares return with a vengeance, leading to the conclusion of a terrifying secret.","A blossoming teenager uncovers the dark secret behind her traumatic childhood.",tt5085924,92,eyl1Wf90AgY,6.1,https://hydramovies.com/wp-content/uploads/2018/04/Wildling-Movie-Poster.jpg,"Fritz Böhm","Fritz Böhm","Bel Powley|Brad Dourif|Liv Tyler"
